MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,GrLivArea,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,Fence,MiscFeature,MoSold,YrSold,SaleType,SaleCondition,BsmtBath,Bath,2Materials,MSZoning_RL,MSZoning_RM,Alley_No,LotShape_Reg,LotShape_IR1,LandContour_Lvl,LotConfig_Inside,LotConfig_Corner,LandSlope_Gtl,Condition1_Norm,BldgType_1Fam,HouseStyle_1Story,HouseStyle_2Story,RoofStyle_Gable,RoofStyle_Hip,Exterior1st_VinylSd,Exterior1st_HdBoard,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior2nd_VinylSd,Exterior2nd_MetalSd,Exterior2nd_HdBoard,MasVnrType_None,MasVnrType_BrkFace,Foundation_PConc,Foundation_CBlock,BsmtExposure_No,BsmtExposure_Av,Heating_GasA,Electrical_SBrkr,GarageType_Attchd,GarageType_Detchd,PavedDrive_Y,MiscFeature_No,SaleType_WD,SaleCondition_Normal,MSSubClass_120,MSSubClass_160,MSSubClass_180,MSSubClass_190,MSSubClass_20,MSSubClass_30,MSSubClass_40,MSSubClass_45,MSSubClass_50,MSSubClass_60,MSSubClass_70,MSSubClass_75,MSSubClass_80,MSSubClass_85,MSSubClass_90,MSSubClass_150,SalePrice
3,4.4543472962535064,9.55506418479516,2,2,2,1,1,154750.0,3,2,2,5,5,1993,1995,2,3,2,1,0.0,3,3,2,4,3,1,6,6.597145701886651,1,0.0,4.174387269895637,6.680854678790215,3,5,1,3,6.3403593037277535,7.217443431696532,1,0.6931471805599453,3,5,8,0,0,2,1993.0,1,480,3,3,3,3.7135720667043084,3.4339872044851463,0.0,5.771441123130017,0.0,3,2,10,2009,2,1,1.0,1.5,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.870606902224589
2,3.951243718581428,8.71948076085107,2,1,2,1,1,118250.0,1,2,2,7,5,1931,1950,2,1,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,6.859614903654202,6.859614903654202,3,4,1,2,6.6240652277998935,7.4815557019095165,2,1.0986122886681098,3,8,7,2,3,1,1931.0,1,468,2,3,3,4.51085950651685,0.0,5.327876168789581,0.0,0.0,0,2,4,2008,2,1,0.0,2.0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.774527900858466
3,3.9318256327243257,8.912069097970132,2,1,2,1,1,127000.0,1,1,1,5,6,1939,1950,2,4,2,1,0.0,3,3,1,3,3,1,6,6.747586526829315,1,0.0,4.948759890378168,6.899723107284872,3,5,1,3,0.0,6.982862751468942,2,1.0986122886681098,3,5,8,2,3,2,1939.0,2,205,4,3,3,0.0,1.6094379124341005,0.0,0.0,0.0,0,2,1,2008,2,1,1.0,1.0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.678448377988165
3,4.262679877041316,9.323758339011741,2,1,2,1,1,135000.0,3,2,3,5,5,1965,1965,3,4,2,1,0.0,3,3,1,3,3,1,3,6.810142450115137,1,0.0,4.90527477843843,6.947937068614969,3,5,1,3,0.0,6.947937068614969,3,0.6931471805599453,3,5,8,0,0,1,1965.0,1,384,3,3,3,0.0,0.0,0.0,0.0,0.0,0,2,2,2008,2,1,1.0,1.0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.771443882099636
3,4.248495242049359,9.470317173335742,2,2,2,1,1,135000.0,3,2,3,5,6,1962,1962,3,4,2,1,0.0,3,3,1,3,3,1,5,6.6039438246004725,1,0.0,5.170483995038151,6.816735880594968,3,3,1,3,0.0,6.816735880594968,2,0.6931471805599453,3,4,8,0,0,1,1962.0,1,352,3,3,3,4.948759890378168,0.0,0.0,0.0,5.17614973257383,0,2,9,2008,2,1,1.0,1.0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.87757552297847
3,4.248495242049359,9.298442820197726,2,2,2,1,1,141000.0,3,2,3,6,5,1960,1960,3,4,2,2,5.3612921657094255,3,3,1,3,3,1,4,6.598509028614515,1,0.0,6.255750041753367,7.134093721192866,3,3,1,3,0.0,7.134093721192866,2,0.6931471805599453,3,5,8,1,2,2,1960.0,2,352,3,3,3,0.0,5.365976015021852,5.17614973257383,0.0,0.0,2,2,5,2008,2,1,1.0,1.5,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.964007453736913
2,3.951243718581428,8.71948076085107,2,1,2,1,1,127000.0,3,2,1,7,8,1929,2001,2,4,2,1,0.0,3,3,1,3,3,1,1,0.0,1,0.0,6.725033642166842,6.725033642166842,3,5,1,2,0.0,6.751101468936759,2,0.6931471805599453,3,5,8,0,0,1,1991.0,1,576,3,3,3,3.8918202981106265,4.727387818712341,0.0,0.0,0.0,4,2,7,2007,2,1,0.0,1.0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.790564777297387
3,4.248495242049359,9.32741204356202,2,2,2,2,1,141000.0,3,2,3,6,7,1970,1970,2,4,2,2,5.198497031265826,3,3,1,3,3,1,5,6.3613024775729965,1,0.0,6.056784013228625,6.912742820493176,3,5,1,3,0.0,6.912742820493176,2,0.6931471805599453,3,5,8,1,3,2,1970.0,3,480,3,3,3,0.0,0.0,0.0,0.0,0.0,0,2,3,2010,2,1,1.0,1.0,0,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.91170829631447
3,4.262679877041316,8.93075873555827,2,1,2,1,1,141000.0,3,2,3,5,6,1958,1965,3,1,2,1,0.0,3,3,1,3,3,1,2,6.22455842927536,1,0.0,6.26530121273771,6.937314081223682,3,3,1,3,0.0,7.200424892944957,3,0.6931471805599453,3,6,7,0,0,2,1958.0,1,294,3,3,3,0.0,0.0,0.0,0.0,0.0,3,2,5,2009,1,1,0.0,1.0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.842236406331557
2,4.060443010546419,8.915969311373606,1,1,1,1,1,106500.0,3,2,1,7,7,1930,1950,2,4,2,1,0.0,3,3,3,3,3,1,1,0.0,1,0.0,6.45833828334479,6.45833828334479,3,5,1,2,0.0,7.011213987350367,3,0.6931471805599453,4,6,8,1,4,2,1930.0,1,280,3,3,1,0.0,0.0,5.327876168789581,0.0,0.0,4,2,6,2007,2,1,0.0,1.0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11.84510995088398
